usps,state,stores_per_100k
NV,Nevada,10.17
HI,Hawaii,8.17
CA,California,6.56
FL,Florida,6.24
OK,Oklahoma,6.24
AZ,Arizona,5.64
CO,Colorado,5.61
OR,Oregon,5.44
WA,Washington,5.02
TX,Texas,4.73
TN,Tennessee,4.68
DE,Delaware,4.65
VA,Virginia,4.53
MO,Missouri,4.42
ID,Idaho,4.29
NC,North Carolina,4.26
RI,Rhode Island,4.26
MD,Maryland,4.16
NM,New Mexico,4.12
NH,New Hampshire,3.98
AK,Alaska,3.93
WY,Wyoming,3.92
NJ,New Jersey,3.9
IL,Illinois,3.79
SC,South Carolina,3.59
GA,Georgia,3.59
KS,Kansas,3.43
PA,Pennsylvania,3.38
AL,Alabama,3.31
NY,New York,3.15
MI,Michigan,3.14
OH,Ohio,3.08
CT,Connecticut,3.06
MA,Massachusetts,3.02
NE,Nebraska,2.95
LA,Louisiana,2.89
KY,Kentucky,2.82
WI,Wisconsin,2.75
MS,Mississippi,2.74
MT,Montana,2.71
UT,Utah,2.5
IN,Indiana,2.36
ME,Maine,2.33
MN,Minnesota,2.15
AR,Arkansas,2.08
IA,Iowa,1.76
SD,South Dakota,1.75
WV,West Virginia,1.74
VT,Vermont,1.6
ND,North Dakota,1.45
DC,District of Columbia,1.34
